"$id","http://www.w3.org/2000/01/rdf-schema#label","http://www.w3.org/2003/01/geo/wgs84_pos#lat","http://www.w3.org/2003/01/geo/wgs84_pos#long"
"http://irail.be/stations/NMBS/008886074","Cambron-Casteau [NMBS/SNCB]","50.586759","3.874809"
"http://irail.be/stations/NMBS/008831401","Diest [NMBS/SNCB]","50.993341","5.050031"
"http://irail.be/stations/NMBS/008895638","Tollembeek [NMBS/SNCB]","50.735522","3.992828"
"http://irail.be/stations/NMBS/008896370","Wevelgem [NMBS/SNCB]","50.811526","3.183520"
"http://irail.be/stations/NMBS/008814167","Sint-Genesius-Rode [NMBS/SNCB]","50.747810","4.361997"
"http://irail.be/stations/NMBS/008822145","Buggenhout [NMBS/SNCB]","51.016291","4.201666"
"http://irail.be/stations/NMBS/008844271","Trooz [NMBS/SNCB]","50.573213","5.688346"
"http://irail.be/stations/NMBS/008885068","Froyennes [NMBS/SNCB]","50.629890","3.354837"
"http://irail.be/stations/NMBS/008832227","Beverlo [NMBS/SNCB]","51.087719","5.234373"
"http://irail.be/stations/NMBS/008832409","Mol [NMBS/SNCB]","51.191050","5.116336"
"http://irail.be/stations/NMBS/008821154","Mortsel-Deurnesteenweg [NMBS/SNCB]","51.183023","4.446514"
"http://irail.be/stations/NMBS/008892338","De Panne [NMBS/SNCB]","51.077400","2.601963"
"http://irail.be/stations/NMBS/008210014","Mamer-Lycee (l)","49.627502","6.023330"
"http://irail.be/stations/NMBS/008891660","Knokke [NMBS/SNCB]","51.339894","3.285188"
"http://irail.be/stations/NMBS/008895844","Iddergem [NMBS/SNCB]","50.876886","4.068490"
"http://irail.be/stations/NMBS/008833159","Sint-Joris-Weert [NMBS/SNCB]","50.800631","4.651728"
"http://irail.be/stations/NMBS/008873387","Ham-Sur-Heure [NMBS/SNCB]","50.319555","4.404696"
"http://irail.be/stations/NMBS/008866530","Halanzy [NMBS/SNCB]","49.556200","5.741347"
"http://irail.be/stations/NMBS/008832615","Neerpelt [NMBS/SNCB]","51.222369","5.437170"
"http://irail.be/stations/NMBS/008892650","Eke-Nazareth [NMBS/SNCB]","50.960774","3.627839"
"http://irail.be/stations/NMBS/008842838","Comblain-La-Tour [NMBS/SNCB]","50.456865","5.566956"
"http://irail.be/stations/NMBS/008895745","Appelterre [NMBS/SNCB]","50.813063","3.972108"
"http://irail.be/stations/NMBS/008841442","Remicourt [NMBS/SNCB]","50.678611","5.321407"
"http://irail.be/stations/NMBS/008871365","Pont-A-Celles [NMBS/SNCB]","50.513812","4.355291"
"http://irail.be/stations/NMBS/008833449","Ezemaal [NMBS/SNCB]","50.772126","4.994217"
"http://irail.be/stations/NMBS/008833050","Vertrijk [NMBS/SNCB]","50.836282","4.835522"
"http://irail.be/stations/NMBS/008814134","Ukkel-Kalevoet [NMBS/SNCB]","50.791749","4.332207"
"http://irail.be/stations/NMBS/008821816","Berlaar [NMBS/SNCB]","51.113662","4.638811"
"http://irail.be/stations/NMBS/008824224","Hemiksem [NMBS/SNCB]","51.136243","4.338293"
"http://irail.be/stations/NMBS/008895646","Herne [NMBS/SNCB]","50.723701","4.014573"
"http://irail.be/stations/NMBS/008842630","Tilff [NMBS/SNCB]","50.570624","5.583937"
"http://irail.be/stations/NMBS/008866258","Neufchateau [NMBS/SNCB]","49.854318","5.452559"
"http://irail.be/stations/NMBS/008813003","Brussel-Centraal [NMBS/SNCB]","50.845658","4.356801"
"http://irail.be/stations/NMBS/008885753","Herseaux [NMBS/SNCB]","50.713894","3.245959"
"http://irail.be/stations/NMBS/008842705","Rivage [NMBS/SNCB]","50.483285","5.587631"
"http://irail.be/stations/NMBS/008832003","Leopoldsburg [NMBS/SNCB]","51.117312","5.257287"
"http://irail.be/stations/NMBS/008871175","Jamioulx [NMBS/SNCB]","50.352896","4.411294"
"http://irail.be/stations/NMBS/008833258","Langdorp [NMBS/SNCB]","51.002466","4.863541"
"http://irail.be/stations/NMBS/008872520","Ligny [NMBS/SNCB]","50.511726","4.566133"
"http://irail.be/stations/NMBS/008831765","Genk [NMBS/SNCB]","50.967057","5.497685"
"http://irail.be/stations/NMBS/008895851","Welle [NMBS/SNCB]","50.903279","4.050620"
"http://irail.be/stations/NMBS/008895752","Eichem [NMBS/SNCB]","50.823994","3.993745"
"http://irail.be/stations/NMBS/008873007","Walcourt [NMBS/SNCB]","50.259219","4.435879"
"http://irail.be/stations/NMBS/008842846","Hamoir [NMBS/SNCB]","50.428181","5.533561"
"http://irail.be/stations/NMBS/008844057","Verviers-Paleis [NMBS/SNCB]","50.590921","5.865335"
"http://irail.be/stations/NMBS/008885001","Doornik [NMBS/SNCB]","50.613134","3.396942"
"http://irail.be/stations/NMBS/008842648","Mery [NMBS/SNCB]","50.547620","5.587236"
"http://irail.be/stations/NMBS/008814001","Brussel-Zuid [NMBS/SNCB]","50.835707","4.336531"
"http://irail.be/stations/NMBS/008892254","Tielt [NMBS/SNCB]","50.990842","3.330341"
"http://irail.be/stations/NMBS/008814142","Linkebeek [NMBS/SNCB]","50.773681","4.339434"
"http://irail.be/stations/NMBS/008812062","Zellik [NMBS/SNCB]","50.890028","4.274541"
"http://irail.be/stations/NMBS/008871373","Gouy-Lez-Pieton [NMBS/SNCB]","50.497065","4.325123"
"http://irail.be/stations/NMBS/008841459","Momalle [NMBS/SNCB]","50.669910","5.367602"
"http://irail.be/stations/NMBS/008893534","Wichelen [NMBS/SNCB]","51.001962","3.969195"
"http://irail.be/stations/NMBS/008892007","Gent-Sint-Pieters [NMBS/SNCB]","51.035896","3.710675"
"http://irail.be/stations/NMBS/008891645","Heist [NMBS/SNCB]","51.333979","3.239181"
"http://irail.be/stations/NMBS/008885522","Antoing [NMBS/SNCB]","50.569626","3.451309"
"http://irail.be/stations/NMBS/008871183","Beignee [NMBS/SNCB]","50.333893","4.406305"
"http://irail.be/stations/NMBS/008895869","Haaltert [NMBS/SNCB]","50.906838","4.023958"
"http://irail.be/stations/NMBS/008832250","Zolder [NMBS/SNCB]","51.030000","5.330000"
"http://irail.be/stations/NMBS/008814118","Vorst-Oost [NMBS/SNCB]","50.810195","4.320943"
"http://irail.be/stations/NMBS/008884889","Callenelle [NMBS/SNCB]","50.527359","3.526180"
